k8,k16,b4,e11,l1,b5,b2b,d2,j2,survey_year,firm_age,log_size,log_sales,survey_year_cat,target_formal_credit,target_applied_credit,k82a,k162a,k162b
no,no,no,yes,20.0,1980.0,0.0,250000.0,0.0,2013,33.0,3.044522437723423,12.429220196836383,2013,0.0,0.0,,,
no,no,no,no,32.0,1997.0,0.0,1700000.0,,2013,16.0,3.4965075614664802,14.346139397261565,2013,0.0,0.0,,,
no,no,no,no,10.0,1945.0,0.0,16500000.0,10.0,2013,68.0,2.3978952727983707,16.61887099947687,2013,0.0,0.0,,,
no,no,no,no,22.0,2000.0,0.0,720000.0,,2013,13.0,3.1354942159291497,13.487007879880162,2013,0.0,0.0,,,
no,yes,,yes,33.0,1992.0,0.0,1350000.0,0.0,2013,21.0,3.5263605246161616,14.115615891155079,2013,0.0,1.0,,,
no,no,,yes,20.0,1965.0,0.0,11000000.0,20.0,2013,48.0,3.044522437723423,16.213405921671733,2013,0.0,0.0,,,
no,no,,no,5.0,1946.0,0.0,,0.0,2013,67.0,1.791759469228055,,2013,0.0,0.0,,,
no,,no,yes,23.0,1986.0,0.0,4548229.0,0.0,2013,27.0,3.1780538303479458,15.33024870425372,2013,0.0,,,,
no,no,no,yes,140.0,1964.0,0.0,5000000.0,0.0,2013,49.0,4.948759890378168,15.424948670398354,2013,0.0,0.0,,,
no,no,no,no,110.0,1968.0,0.0,25712050.0,2.0,2013,45.0,4.709530201312334,17.06247035046711,2013,0.0,0.0,,,
no,no,no,yes,60.0,2001.0,0.0,4000000.0,0.0,2013,12.0,4.110873864173311,15.201805169084134,2013,0.0,0.0,,,
no,no,no,yes,6.0,1965.0,0.0,250000.0,10.0,2013,48.0,1.9459101490553132,12.429220196836383,2013,0.0,0.0,,,
no,no,,yes,60.0,1932.0,0.0,,0.0,2013,81.0,4.110873864173311,,2013,0.0,0.0,,,
no,no,no,yes,13.0,1932.0,0.0,700000.0,0.0,2013,81.0,2.6390573296152584,13.45883704259595,2013,0.0,0.0,,,
no,no,no,no,35.0,2002.0,0.0,3000000.0,0.0,2013,11.0,3.58351893845611,14.914123179965662,2013,0.0,0.0,,,
no,no,no,no,83.0,1982.0,0.0,3465700.0,1.0,2013,31.0,4.430816798843313,15.058425478946784,2013,0.0,0.0,,,
no,no,yes,yes,10.0,1945.0,0.0,1200000.0,0.0,2013,68.0,2.3978952727983707,13.997832948091215,2013,0.0,0.0,,,
no,no,no,no,12.0,2002.0,0.0,1156055.0,0.0,2013,11.0,2.5649493574615367,13.960524769947714,2013,0.0,0.0,,,
no,yes,,yes,12.0,2011.0,0.0,,0.0,2013,2.0,2.5649493574615367,,2013,0.0,1.0,,,
no,no,no,no,21.0,1998.0,0.0,2200000.0,0.0,2013,15.0,3.091042453358316,14.603968372873895,2013,0.0,0.0,,,
no,no,yes,no,90.0,1982.0,0.0,32837259.0,1.0,2013,31.0,4.51085950651685,17.307074404232054,2013,0.0,0.0,,,
no,no,,no,10.0,1998.0,0.0,2000000.0,0.0,2013,15.0,2.3978952727983707,14.508658238524095,2013,0.0,0.0,,,
no,no,no,no,25.0,2002.0,0.0,1000000.0,0.0,2013,11.0,3.258096538021482,13.815511557963774,2013,0.0,0.0,,,
no,no,no,no,30.0,1989.0,0.0,840000.0,0.0,2013,24.0,3.4339872044851463,13.641158361294979,2013,0.0,0.0,,,
no,no,no,no,15.0,2001.0,0.0,1500000.0,0.0,2013,12.0,2.772588722239781,14.220976332738882,2013,0.0,0.0,,,
no,no,no,no,15.0,1997.0,0.0,1200000.0,20.0,2013,16.0,2.772588722239781,13.997832948091215,2013,0.0,0.0,,,
no,no,no,yes,25.0,2000.0,0.0,7000000.0,0.0,2013,13.0,3.258096538021482,15.76142084987672,2013,0.0,0.0,,,
no,no,no,no,25.0,1986.0,0.0,2000000.0,2.0,2013,27.0,3.258096538021482,14.508658238524095,2013,0.0,0.0,,,
no,no,no,no,22.0,1992.0,0.0,1100000.0,0.0,2013,21.0,3.1354942159291497,13.910821646859095,2013,0.0,0.0,,,
no,no,no,no,18.0,1987.0,0.0,1100000.0,0.0,2013,26.0,2.9444389791664403,13.910821646859095,2013,0.0,0.0,,,
no,no,no,yes,50.0,1990.0,0.0,2000000.0,0.0,2013,23.0,3.9318256327243257,14.508658238524095,2013,0.0,0.0,,,
no,no,no,no,25.0,1992.0,0.0,1570000.0,2.0,2013,21.0,3.258096538021482,14.266586814266963,2013,0.0,0.0,,,
no,no,no,no,25.0,1997.0,0.0,890000.0,0.0,2013,16.0,3.258096538021482,13.698977865303197,2013,0.0,0.0,,,
no,no,no,no,26.0,2010.0,0.0,1950000.0,0.0,2013,3.0,3.295836866004329,14.48334044336031,2013,0.0,0.0,,,
no,no,no,no,32.0,1992.0,0.0,810000.0,0.0,2013,21.0,3.4965075614664802,13.60479076121576,2013,0.0,0.0,,,
no,no,no,no,26.0,1998.0,0.0,900000.0,0.0,2013,15.0,3.295836866004329,13.710151153416941,2013,0.0,0.0,,,
no,no,no,no,29.0,1998.0,0.0,1300000.0,0.0,2013,15.0,3.4011973816621555,14.077875591662238,2013,0.0,0.0,,,
no,no,yes,yes,6.0,1970.0,0.0,20000.0,0.0,2013,43.0,1.9459101490553132,9.90353755128617,2013,0.0,0.0,,,
no,no,no,no,5.0,2004.0,0.0,400000.0,0.0,2013,9.0,1.791759469228055,12.899222326086994,2013,0.0,0.0,,,
no,no,no,no,5.0,1974.0,0.0,10000.0,0.0,2013,39.0,1.791759469228055,9.210440366976517,2013,0.0,0.0,,,
no,no,,no,10.0,2007.0,0.0,500000.0,0.0,2013,6.0,2.3978952727983707,13.122365377402328,2013,0.0,0.0,,,
no,no,no,no,5.0,2005.0,0.0,1000000.0,0.0,2013,8.0,1.791759469228055,13.815511557963774,2013,0.0,0.0,,,
no,no,,no,300.0,1929.0,0.0,135000000.0,90.0,2013,84.0,5.707110264748875,18.72078534381011,2013,0.0,0.0,,,
no,no,,,1000.0,1976.0,0.0,37000000.0,10.0,2013,37.0,6.90875477931522,17.426428497635523,2013,0.0,0.0,,,
no,no,no,no,50.0,1995.0,0.0,30000000.0,15.0,2013,18.0,3.9318256327243257,17.216707972959764,2013,0.0,0.0,,,
